TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
Darius,Rengar,Zilean,Jinx,Lulu
Sion,Kha'Zix,Yasuo,Ashe,Yuumi
Teemo,Vi,Galio,Jhin,Soraka
Maokai,Elise,Aatrox,Twitch,Lulu
Fiora,Vi,Vladimir,Ashe,Pyke
Sion,Jax,Galio,Ezreal,Yuumi
Kennen,Vi,Twisted Fate,Ashe,Karma
Darius,Nocturne,Orianna,Kai'Sa,Soraka
Gnar,Fiddlesticks,Karthus,Kai'Sa,Yuumi
Talon,Ivern,Riven,Vel'Koz,Lulu
Aatrox,Volibear,Malzahar,Varus,Soraka
Sylas,Jarvan IV,Zed,Ezreal,Yuumi
Camille,Shyvana,Kennen,Aphelios,Nautilus
Fiora,Kayn,Corki,Kai'Sa,Yuumi
Kayle,Shaco,Kassadin,Maokai,Senna
Olaf,Nocturne,Renekton,Veigar,Alistar
Quinn,Nocturne,Kassadin,Senna,Braum
Darius,Karthus,Syndra,Kai'Sa,Yuumi
Shen,Kayn,Orianna,Ashe,Janna
Sion,Rengar,Ekko,Vayne,Lulu
Trundle,Lee Sin,Twisted Fate,Miss Fortune,Soraka
Fiora,Zac,Yasuo,Ezreal,Janna
Sion,Vi,Orianna,Ezreal,Janna
Sett,Gragas,Galio,Kai'Sa,Soraka
Garen,Twitch,Katarina,Ezreal,Lulu
Jax,Kayn,Kog'Maw,Jhin,Soraka
Volibear,Graves,Syndra,Ashe,Pyke
Tryndamere,Kled,Ahri,Kai'Sa,Soraka
Malphite,Evelynn,Kassadin,Yasuo,Soraka
Wukong,Fiddlesticks,Talon,Vayne,Nautilus
Urgot,Lee Sin,Kassadin,Ziggs,Senna
Warwick,Kayn,Katarina,Vayne,Soraka
Renekton,Fiddlesticks,Yasuo,Ezreal,Senna
Darius,Warwick,Twisted Fate,Vayne,Soraka
Hecarim,Ekko,Karthus,Caitlyn,Morgana
Ornn,Xin Zhao,Galio,Twitch,Yuumi
Sion,Sylas,Yasuo,Sivir,Bard
Shen,Trundle,Qiyana,Ezreal,Thresh
Wukong,Elise,Zed,Vayne,Nami
Jayce,Kayn,Lux,Ezreal,Taric
Gragas,Lee Sin,Veigar,Caitlyn,Alistar
Darius,Zac,Ekko,Vayne,Soraka
Ornn,Olaf,Ekko,Ezreal,Xerath
Karma,Elise,Twisted Fate,Varus,Zilean
Sett,Shaco,Qiyana,Yasuo,Xerath
Malphite,Jarvan IV,Orianna,Twitch,Soraka
Camille,Kayn,Heimerdinger,Vayne,Yuumi
Jayce,Graves,Orianna,Twitch,Soraka
Singed,Master Yi,Vel'Koz,Ashe,Lulu
Shen,Kha'Zix,Karma,Ezreal,Soraka
Cho'Gath,Sett,Twisted Fate,Draven,Swain
Mordekaiser,Jax,Zoe,Caitlyn,Yuumi
Garen,Olaf,Vladimir,Kai'Sa,Pyke
Urgot,Zac,Vel'Koz,Lucian,Yuumi
Renekton,Fiddlesticks,Vel'Koz,Miss Fortune,Braum
Darius,Amumu,Lux,Draven,Leona
Jayce,Shyvana,Syndra,Taric,Senna
Irelia,Kayn,Kassadin,Aphelios,Karma
Zed,Kayn,Mordekaiser,Ezreal,Karma
Gangplank,Nunu & Willump,Vladimir,Aphelios,Lulu
Mordekaiser,Kayn,Zed,Aphelios,Nautilus
Gragas,Kha'Zix,Ekko,Ezreal,Janna
Darius,Hecarim,Diana,Yasuo,Lulu
Camille,Elise,Zed,Kled,Senna
Camille,Nunu & Willump,Zed,Kai'Sa,Lulu
Fiora,Shaco,Neeko,Veigar,Tahm Kench
Shen,Nidalee,Zed,Aphelios,Lulu
Nasus,Gragas,Heimerdinger,Kog'Maw,Soraka
Irelia,Zac,Zed,Syndra,Swain
Shen,Vi,Xerath,Veigar,Janna
Fiora,Nidalee,Galio,Tristana,Nami
Renekton,Hecarim,Zed,Kled,Karma
Camille,Ekko,Zed,Twitch,Lulu
Fiora,Fiddlesticks,Vladimir,Ezreal,Senna
Ekko,Kha'Zix,Sett,Xayah,Yuumi
Cassiopeia,Warwick,Zed,Kog'Maw,Lulu
Akali,Vi,Yasuo,Lucian,Sett
Zed,Shyvana,Irelia,Kai'Sa,Pyke
Malphite,Graves,Mordekaiser,Tristana,Lux
Shen,Vi,Zed,Jhin,Karma
Sion,Hecarim,Ahri,Jhin,Swain
Shyvana,Qiyana,Heimerdinger,Varus,Pyke
Kennen,Warwick,Zilean,Lucian,Braum
Maokai,Nidalee,Vel'Koz,Aphelios,Bard
Mordekaiser,Hecarim,Zed,Ezreal,Nami
Maokai,Lee Sin,Xerath,Aphelios,Senna
Shen,Shyvana,Zed,Ezreal,Pyke
Mordekaiser,Jax,Cassiopeia,Caitlyn,Bard
Riven,Shaco,Talon,Kai'Sa,Bard
Poppy,Lee Sin,Ezreal,Syndra,Thresh
Gnar,Fiddlesticks,Vel'Koz,Vayne,Janna
Maokai,Dr. Mundo,Katarina,Ezreal,Xerath
Yorick,Ivern,Katarina,Kai'Sa,Leona
Hecarim,Sejuani,Cassiopeia,Ezreal,Pyke
Fiora,Lee Sin,Fizz,Varus,Lulu
Poppy,Sejuani,Vel'Koz,Tristana,Nami
