team,id,win,champions
blue,4704576600,False,"['Shen', 'Graves', 'Ekko', 'Ezreal', 'Lulu']"
red,4704576600,True,"['Hecarim', ""Kha'Zix"", 'Syndra', ""Kai'Sa"", 'Karma']"
blue,4635491462,True,"['Gnar', 'Wukong', 'Xerath', 'Ezreal', 'Thresh']"
red,4635491462,False,"['Mordekaiser', 'Trundle', 'Yasuo', 'Tristana', 'Soraka']"
blue,4524225180,False,"['Maokai', 'Olaf', 'Ahri', 'Aphelios', 'Senna']"
red,4524225180,True,"['Amumu', 'Jarvan IV', 'Zilean', 'Kalista', 'Nautilus']"
blue,4524143034,False,"['Ornn', 'Elise', 'Pantheon', 'Syndra', 'Nautilus']"
red,4524143034,True,"['Maokai', 'Lee Sin', 'Akali', 'Miss Fortune', 'Thresh']"
blue,4635427706,True,"['Wukong', 'Elise', 'Qiyana', 'Lucian', 'Taric']"
red,4635427706,False,"['Sett', 'Jarvan IV', 'Fizz', 'Varus', 'Nami']"
blue,4635276559,True,"['Jax', 'Sejuani', 'Sylas', 'Ezreal', 'Yuumi']"
red,4635276559,False,"['Wukong', 'Zac', 'Cassiopeia', 'Soraka', 'Senna']"
blue,4526619080,False,"['Tryndamere', 'Trundle', 'Zilean', 'Karma', 'Senna']"
red,4526619080,True,"['Gangplank', 'Sejuani', 'Orianna', 'Varus', 'Soraka']"
blue,4670606976,True,"['Lucian', 'Shyvana', 'Ornn', 'Ezreal', 'Karma']"
red,4670606976,False,"['Vladimir', 'Sett', 'Malphite', 'Aphelios', 'Bard']"
blue,4670501275,True,"['Jax', 'Shaco', 'Orianna', 'Aphelios', 'Yuumi']"
red,4670501275,False,"['Wukong', 'Graves', 'Syndra', 'Ezreal', 'Karma']"
blue,4635591859,True,"['Vladimir', 'Taric', 'Orianna', 'Varus', 'Senna']"
red,4635591859,False,"['Maokai', 'Graves', 'Sylas', 'Ezreal', 'Karma']"
blue,4487205341,True,"['Ornn', 'Gragas', 'Twisted Fate', 'Xayah', 'Rakan']"
red,4487205341,False,"['Twitch', 'Zac', 'Ekko', ""Kai'Sa"", 'Xerath']"
