team,id,win,champions,champion_ids
blue,4715835086,False,"['Darius', 'Elise', 'Zed', 'Ashe', 'Morgana']","[20, 25, 144, 8, 76]"
red,4715835086,True,"['Viktor', 'Trundle', 'Sylas', 'Jhin', 'Karma']","[133, 122, 113, 46, 50]"
blue,4708370729,False,"['Vladimir', 'Lee Sin', 'Orianna', 'Draven', 'Janna']","[134, 62, 85, 22, 42]"
red,4708370729,True,"['Darius', 'Rengar', 'Diana', 'Karthus', 'Lulu']","[20, 96, 21, 51, 67]"
blue,4705815833,False,"['Aatrox', 'Morgana', 'Corki', 'Karthus', 'Pyke']","[0, 76, 19, 51, 89]"
red,4705815833,True,"['Akali', 'Graves', 'Vladimir', 'Ashe', 'Taric']","[2, 36, 134, 8, 118]"
blue,4705791576,True,"['Malphite', 'Shyvana', 'Ekko', 'Xayah', 'Rakan']","[69, 105, 24, 137, 92]"
blue,4705731955,False,"['Sion', 'Nocturne', 'Syndra', 'Karthus', 'Senna']","[107, 82, 114, 51, 101]"
red,4705731955,True,"['Riven', 'Graves', 'Neeko', 'Ashe', 'Karma']","[97, 36, 80, 8, 50]"
blue,4704319371,False,"['Galio', ""Rek'Sai"", 'Pyke', 'Karthus', 'Leona']","[31, 94, 89, 51, 63]"
red,4704319371,True,"['Camille', 'Sett', 'Corki', 'Yasuo', 'Alistar']","[16, 102, 19, 140, 3]"
blue,4703030462,False,"['Teemo', ""Kha'Zix"", 'Twisted Fate', 'Jinx', 'Rakan']","[119, 57, 124, 47, 92]"
red,4703030462,True,"['Volibear', 'Graves', 'Galio', 'Karthus', 'Janna']","[135, 36, 31, 51, 42]"
blue,4702984569,False,"['Malphite', 'Ekko', 'Orianna', 'Camille', 'Shaco']","[69, 24, 85, 16, 103]"
red,4702984569,True,"['Aurelion Sol', 'Karthus', 'Talon', 'Ashe', 'Karma']","[9, 51, 117, 8, 50]"
blue,4702095832,False,"['Volibear', 'Nidalee', 'Tristana', 'Ashe', 'Pyke']","[135, 81, 121, 8, 89]"
red,4702095832,True,"['Aatrox', 'Graves', 'Karma', 'Aphelios', 'Shaco']","[0, 36, 50, 7, 103]"
blue,4697884273,True,"['Wukong', 'Fiddlesticks', 'Syndra', 'Lucian', 'Senna']","[74, 28, 114, 66, 101]"
red,4697884273,False,"['Darius', 'Karthus', ""Kog'Maw"", 'Varus', 'Sett']","[20, 51, 60, 128, 102]"
red,4697766647,True,"['Vayne', 'Skarner', 'Kassadin', 'Varus', 'Janna']","[129, 109, 52, 128, 42]"
blue,4697743844,True,"['Jayce', ""Rek'Sai"", 'Kassadin', 'Sett', 'Senna']","[45, 94, 52, 102, 101]"
blue,4694074241,False,"['Maokai', 'Olaf', 'Fizz', 'Caitlyn', 'Soraka']","[71, 84, 30, 15, 111]"
red,4694074241,True,"['Fiddlesticks', 'Nunu & Willump', 'Vladimir', 'Ezreal', 'Karma']","[28, 83, 134, 27, 50]"
red,4690003373,False,"['Tahm Kench', 'Wukong', 'Aurelion Sol', 'Heimerdinger', 'Sett']","[115, 74, 9, 38, 102]"
blue,4687261991,False,"['Cassiopeia', 'Skarner', 'Jax', ""Kai'Sa"", 'Sett']","[17, 109, 44, 48, 102]"
red,4687261991,True,"['Akali', 'Vi', 'Swain', 'Twitch', 'Lulu']","[2, 132, 112, 125, 67]"
blue,4687109011,False,"['Vladimir', ""Kai'Sa"", 'Ornn', 'Varus', 'Janna']","[134, 48, 86, 128, 42]"
red,4687109011,True,"['Malphite', 'Nidalee', 'Pyke', 'Lucian', 'Sett']","[69, 81, 89, 66, 102]"
blue,4686699054,True,"['Gangplank', 'Nidalee', 'Cassiopeia', 'Varus', 'Karma']","[32, 81, 17, 128, 50]"
blue,4684725867,False,"['Aatrox', 'Kayn', 'Karma', 'Vayne', 'Rakan']","[0, 55, 50, 129, 92]"
red,4684725867,True,"['Ornn', 'Elise', 'Qiyana', 'Kalista', 'Nautilus']","[86, 25, 90, 49, 79]"
blue,4657301171,True,"['Renekton', 'Ekko', 'Twisted Fate', 'Aphelios', 'Janna']","[95, 24, 124, 7, 42]"
red,4657301171,False,"['Aatrox', 'Master Yi', 'Taliyah', 'Ezreal', 'Sett']","[0, 72, 116, 27, 102]"
blue,4657160975,False,"['Gnar', 'Nidalee', 'Diana', 'Aphelios', 'Lulu']","[34, 81, 21, 7, 67]"
red,4657160975,True,"['Sett', 'Elise', 'Qiyana', 'Ziggs', 'Janna']","[102, 25, 90, 145, 42]"
red,4652382845,True,"['Irelia', 'Kayn', 'Kassadin', 'Draven', 'Janna']","[40, 55, 52, 22, 42]"
