,0
0,Aatrox
1,Ahri
2,Akali
3,Alistar
4,Amumu
5,Anivia
6,Annie
7,Aphelios
8,Ashe
9,Aurelion Sol
10,Azir
11,Bard
12,Blitzcrank
13,Brand
14,Braum
15,Caitlyn
16,Camille
17,Cassiopeia
18,Cho'Gath
19,Corki
20,Darius
21,Diana
22,Draven
23,Dr. Mundo
24,Ekko
25,Elise
26,Evelynn
27,Ezreal
28,Fiddlesticks
29,Fiora
30,Fizz
31,Galio
32,Gangplank
33,Garen
34,Gnar
35,Gragas
36,Graves
37,Hecarim
38,Heimerdinger
39,Illaoi
40,Irelia
41,Ivern
42,Janna
43,Jarvan IV
44,Jax
45,Jayce
46,Jhin
47,Jinx
48,Kai'Sa
49,Kalista
50,Karma
51,Karthus
52,Kassadin
53,Katarina
54,Kayle
55,Kayn
56,Kennen
57,Kha'Zix
58,Kindred
59,Kled
60,Kog'Maw
61,LeBlanc
62,Lee Sin
63,Leona
64,Lillia
65,Lissandra
66,Lucian
67,Lulu
68,Lux
69,Malphite
70,Malzahar
71,Maokai
72,Master Yi
73,Miss Fortune
74,Wukong
75,Mordekaiser
76,Morgana
77,Nami
78,Nasus
79,Nautilus
80,Neeko
81,Nidalee
82,Nocturne
83,Nunu & Willump
84,Olaf
85,Orianna
86,Ornn
87,Pantheon
88,Poppy
89,Pyke
90,Qiyana
91,Quinn
92,Rakan
93,Rammus
94,Rek'Sai
95,Renekton
96,Rengar
97,Riven
98,Rumble
99,Ryze
100,Sejuani
101,Senna
102,Sett
103,Shaco
104,Shen
105,Shyvana
106,Singed
107,Sion
108,Sivir
109,Skarner
110,Sona
111,Soraka
112,Swain
113,Sylas
114,Syndra
115,Tahm Kench
116,Taliyah
117,Talon
118,Taric
119,Teemo
120,Thresh
121,Tristana
122,Trundle
123,Tryndamere
124,Twisted Fate
125,Twitch
126,Udyr
127,Urgot
128,Varus
129,Vayne
130,Veigar
131,Vel'Koz
132,Vi
133,Viktor
134,Vladimir
135,Volibear
136,Warwick
137,Xayah
138,Xerath
139,Xin Zhao
140,Yasuo
141,Yorick
142,Yuumi
143,Zac
144,Zed
145,Ziggs
146,Zilean
147,Zoe
148,Zyra
