team,id,win,champions
blue,4295748322,False,"['Yasuo', 'Jarvan IV', 'Galio', 'Miss Fortune', 'Sett']"
red,4295748322,True,"['Renekton', 'Lee Sin', 'Irelia', 'Aphelios', 'Thresh']"
blue,4292338942,False,"['Urgot', 'Elise', 'Syndra', ""Kai'Sa"", 'Lulu']"
red,4292338942,True,"['Wukong', 'Sett', 'Irelia', 'Kalista', 'Nautilus']"
blue,4217692457,False,"['Ornn', 'Olaf', 'Orianna', 'Aphelios', 'Braum']"
red,4217692457,True,"['Volibear', 'Gragas', 'Sylas', 'Miss Fortune', 'Thresh']"
blue,4504626420,True,"['Volibear', 'Graves', 'Karma', 'Aphelios', 'Lulu']"
red,4504626420,False,"['Aatrox', 'Ekko', 'Vladimir', 'Ezreal', 'Braum']"
blue,4220173259,True,"['Jax', 'Yuumi', 'Rumble', 'Aphelios', 'Thresh']"
red,4220173259,False,"['Renekton', 'Trundle', 'Zilean', 'Miss Fortune', 'Senna']"
blue,4220017511,True,"['Ornn', 'Jarvan IV', 'Fizz', 'Ashe', 'Lulu']"
red,4220017511,False,"['Poppy', 'Rammus', 'LeBlanc', 'Aphelios', 'Senna']"
blue,4171781999,True,"['Sett', ""Rek'Sai"", 'Azir', 'Ezreal', 'Volibear']"
red,4171781999,False,"['Ornn', 'Sejuani', 'Zilean', 'Miss Fortune', 'Yorick']"
blue,4419599117,True,"['Wukong', 'Karthus', 'Kalista', 'Varus', 'Karma']"
red,4419599117,False,"['Poppy', 'Lee Sin', 'Rumble', 'Ezreal', 'Senna']"
blue,4295485641,True,"['Renekton', 'Wukong', 'Sylas', 'Ezreal', 'Lulu']"
red,4295485641,False,"['Maokai', 'Olaf', 'Akali', 'Kalista', 'Taric']"
blue,4256651990,True,"['Renekton', 'Jarvan IV', 'Zilean', 'Ezreal', 'Nami']"
red,4256651990,False,"['Kennen', 'Lee Sin', 'Syndra', ""Kai'Sa"", 'Leona']"
blue,4256671892,False,"['Kayle', 'Sejuani', 'Azir', 'Kalista', 'Sett']"
red,4256671892,True,"['Ornn', 'Jarvan IV', 'Kassadin', 'Miss Fortune', 'Taric']"
blue,4217478176,False,"['Irelia', 'Olaf', 'Cassiopeia', ""Kai'Sa"", 'Blitzcrank']"
red,4217478176,True,"['Sett', 'Lee Sin', 'Syndra', 'Varus', 'Braum']"
blue,4704576600,False,"['Shen', 'Graves', 'Ekko', 'Ezreal', 'Lulu']"
red,4704576600,True,"['Hecarim', ""Kha'Zix"", 'Syndra', ""Kai'Sa"", 'Karma']"
blue,4635491462,True,"['Gnar', 'Wukong', 'Xerath', 'Ezreal', 'Thresh']"
red,4635491462,False,"['Mordekaiser', 'Trundle', 'Yasuo', 'Tristana', 'Soraka']"
blue,4524225180,False,"['Maokai', 'Olaf', 'Ahri', 'Aphelios', 'Senna']"
red,4524225180,True,"['Amumu', 'Jarvan IV', 'Zilean', 'Kalista', 'Nautilus']"
blue,4524143034,False,"['Ornn', 'Elise', 'Pantheon', 'Syndra', 'Nautilus']"
red,4524143034,True,"['Maokai', 'Lee Sin', 'Akali', 'Miss Fortune', 'Thresh']"
blue,4635427706,True,"['Wukong', 'Elise', 'Qiyana', 'Lucian', 'Taric']"
red,4635427706,False,"['Sett', 'Jarvan IV', 'Fizz', 'Varus', 'Nami']"
