team,id,win,champions
blue,4722566725,True,"['Darius', 'Rengar', 'Zilean', 'Jinx', 'Lulu']"
red,4722566725,False,"['Sion', ""Kha'Zix"", 'Yasuo', 'Ashe', 'Yuumi']"
blue,4721762842,True,"['Teemo', 'Vi', 'Galio', 'Jhin', 'Soraka']"
red,4721762842,False,"['Maokai', 'Elise', 'Aatrox', 'Twitch', 'Lulu']"
blue,4717806207,True,"['Fiora', 'Vi', 'Vladimir', 'Ashe', 'Pyke']"
red,4717806207,False,"['Sion', 'Jax', 'Galio', 'Ezreal', 'Yuumi']"
blue,4714788109,True,"['Kennen', 'Vi', 'Twisted Fate', 'Ashe', 'Karma']"
red,4714788109,False,"['Darius', 'Nocturne', 'Orianna', ""Kai'Sa"", 'Soraka']"
blue,4712010213,False,"['Gnar', 'Fiddlesticks', 'Karthus', ""Kai'Sa"", 'Yuumi']"
red,4712010213,True,"['Talon', 'Ivern', 'Riven', ""Vel'Koz"", 'Lulu']"
blue,4707892604,True,"['Aatrox', 'Volibear', 'Malzahar', 'Varus', 'Soraka']"
red,4707892604,False,"['Sylas', 'Jarvan IV', 'Zed', 'Ezreal', 'Yuumi']"
blue,4707228564,False,"['Camille', 'Shyvana', 'Kennen', 'Aphelios', 'Nautilus']"
red,4707228564,True,"['Fiora', 'Kayn', 'Corki', ""Kai'Sa"", 'Yuumi']"
blue,4694720298,False,"['Kayle', 'Shaco', 'Kassadin', 'Maokai', 'Senna']"
red,4694720298,True,"['Olaf', 'Nocturne', 'Renekton', 'Veigar', 'Alistar']"
blue,4691794580,False,"['Quinn', 'Nocturne', 'Kassadin', 'Senna', 'Braum']"
red,4691794580,True,"['Darius', 'Karthus', 'Syndra', ""Kai'Sa"", 'Yuumi']"
blue,4686417020,False,"['Shen', 'Kayn', 'Orianna', 'Ashe', 'Janna']"
red,4686417020,True,"['Sion', 'Rengar', 'Ekko', 'Vayne', 'Lulu']"
blue,4686307578,False,"['Trundle', 'Lee Sin', 'Twisted Fate', 'Miss Fortune', 'Soraka']"
red,4686307578,True,"['Fiora', 'Zac', 'Yasuo', 'Ezreal', 'Janna']"
blue,4685892151,False,"['Sion', 'Vi', 'Orianna', 'Ezreal', 'Janna']"
