team,id,win,champions,champion_ids
blue,4722566725,True,"['Darius', 'Rengar', 'Zilean', 'Jinx', 'Lulu']","[20, 96, 146, 47, 67]"
red,4722566725,False,"['Sion', ""Kha'Zix"", 'Yasuo', 'Ashe', 'Yuumi']","[107, 57, 140, 8, 142]"
blue,4721762842,True,"['Teemo', 'Vi', 'Galio', 'Jhin', 'Soraka']","[119, 132, 31, 46, 111]"
red,4721762842,False,"['Maokai', 'Elise', 'Aatrox', 'Twitch', 'Lulu']","[71, 25, 0, 125, 67]"
blue,4717806207,True,"['Fiora', 'Vi', 'Vladimir', 'Ashe', 'Pyke']","[29, 132, 134, 8, 89]"
red,4717806207,False,"['Sion', 'Jax', 'Galio', 'Ezreal', 'Yuumi']","[107, 44, 31, 27, 142]"
blue,4714788109,True,"['Kennen', 'Vi', 'Twisted Fate', 'Ashe', 'Karma']","[56, 132, 124, 8, 50]"
red,4714788109,False,"['Darius', 'Nocturne', 'Orianna', ""Kai'Sa"", 'Soraka']","[20, 82, 85, 48, 111]"
blue,4712010213,False,"['Gnar', 'Fiddlesticks', 'Karthus', ""Kai'Sa"", 'Yuumi']","[34, 28, 51, 48, 142]"
red,4712010213,True,"['Talon', 'Ivern', 'Riven', ""Vel'Koz"", 'Lulu']","[117, 41, 97, 131, 67]"
blue,4707892604,True,"['Aatrox', 'Volibear', 'Malzahar', 'Varus', 'Soraka']","[0, 135, 70, 128, 111]"
red,4707892604,False,"['Sylas', 'Jarvan IV', 'Zed', 'Ezreal', 'Yuumi']","[113, 43, 144, 27, 142]"
blue,4707228564,False,"['Camille', 'Shyvana', 'Kennen', 'Aphelios', 'Nautilus']","[16, 105, 56, 7, 79]"
red,4707228564,True,"['Fiora', 'Kayn', 'Corki', ""Kai'Sa"", 'Yuumi']","[29, 55, 19, 48, 142]"
blue,4694720298,False,"['Kayle', 'Shaco', 'Kassadin', 'Maokai', 'Senna']","[54, 103, 52, 71, 101]"
red,4694720298,True,"['Olaf', 'Nocturne', 'Renekton', 'Veigar', 'Alistar']","[84, 82, 95, 130, 3]"
blue,4691794580,False,"['Quinn', 'Nocturne', 'Kassadin', 'Senna', 'Braum']","[91, 82, 52, 101, 14]"
red,4691794580,True,"['Darius', 'Karthus', 'Syndra', ""Kai'Sa"", 'Yuumi']","[20, 51, 114, 48, 142]"
blue,4686417020,False,"['Shen', 'Kayn', 'Orianna', 'Ashe', 'Janna']","[104, 55, 85, 8, 42]"
red,4686417020,True,"['Sion', 'Rengar', 'Ekko', 'Vayne', 'Lulu']","[107, 96, 24, 129, 67]"
