id,team,champions,win
5655-7249,Blue,"['Aatrox', 'Qiyana', 'Rumble', 'Senna', 'Braum']",1
5655-7249,Red,"['Ornn', 'Jarvan IV', 'Ryze', 'Miss Fortune', 'Leona']",0
5655-7250,Blue,"['Aatrox', 'Qiyana', 'Orianna', 'Varus', 'Braum']",0
5655-7250,Red,"['Fiora', 'Jarvan IV', 'Mordekaiser', 'Miss Fortune', 'Thresh']",1
5655-7251,Blue,"['Ornn', 'Qiyana', 'Orianna', 'Varus', 'Braum']",1
5655-7251,Red,"['Mordekaiser', 'Jarvan IV', 'Diana', 'Miss Fortune', 'Leona']",0
5656-7252,Blue,"['Renekton', 'Gragas', 'Irelia', 'Aphelios', 'Braum']",1
5656-7252,Red,"['Aatrox', 'Jarvan IV', 'LeBlanc', 'Miss Fortune', 'Leona']",0
5656-7253,Blue,"['Aatrox', 'Jarvan IV', 'Zoe', 'Miss Fortune', 'Leona']",1
5656-7253,Red,"['Renekton', 'Lee Sin', 'Rumble', 'Varus', 'Braum']",0
5656-7254,Blue,"['Aatrox', ""Rek'Sai"", 'LeBlanc', 'Aphelios', 'Leona']",0
5656-7254,Red,"['Mordekaiser', 'Jarvan IV', 'Ryze', 'Miss Fortune', 'Braum']",1
5657-7255,Blue,"['Mordekaiser', 'Olaf', 'Taliyah', 'Aphelios', 'Leona']",1
5657-7255,Red,"['Gangplank', 'Gragas', 'Lucian', 'Miss Fortune', 'Nautilus']",0
5657-7256,Blue,"['Ornn', 'Taliyah', 'Pantheon', 'Miss Fortune', 'Thresh']",0
5657-7256,Red,"['Renekton', 'Qiyana', 'Ryze', 'Senna', 'Tahm Kench']",1
5658-7257,Blue,"['Aatrox', 'Jarvan IV', 'Cassiopeia', 'Aphelios', 'Braum']",0
5658-7257,Red,"['Ornn', 'Kindred', 'LeBlanc', 'Caitlyn', 'Nautilus']",1
5658-7258,Blue,"['Ornn', 'Elise', 'Irelia', 'Aphelios', 'Thresh']",0
5658-7258,Red,"['Mordekaiser', 'Lee Sin', 'LeBlanc', 'Miss Fortune', 'Leona']",1
5659-7259,Blue,"['Ornn', 'Gragas', 'Jayce', 'Miss Fortune', 'Leona']",0
5659-7259,Red,"['Fiora', 'Elise', 'Qiyana', 'Senna', 'Braum']",1
5659-7260,Blue,"['Camille', 'Qiyana', 'Orianna', 'Aphelios', 'Thresh']",0
5659-7260,Red,"['Mordekaiser', 'Elise', 'Jayce', 'Xayah', 'Rakan']",1
5659-7261,Blue,"['Ornn', 'Elise', 'Irelia', ""Kai'Sa"", 'Leona']",0
5659-7261,Red,"['Gangplank', 'Qiyana', 'LeBlanc', 'Miss Fortune', 'Braum']",1
5660-7262,Blue,"['Kennen', 'Qiyana', 'Ekko', 'Varus', 'Braum']",1
5660-7262,Red,"['Irelia', 'Jarvan IV', 'Rumble', 'Miss Fortune', 'Nautilus']",0
5660-7263,Blue,"['Akali', 'Lee Sin', 'LeBlanc', 'Varus', 'Leona']",0
5660-7263,Red,"['Kennen', ""Rek'Sai"", 'Rumble', 'Miss Fortune', 'Rakan']",1
5661-7265,Blue,"['Kennen', 'Olaf', 'Ryze', 'Lucian', 'Braum']",0
5661-7265,Red,"['Renekton', 'Taliyah', 'Cassiopeia', 'Miss Fortune', 'Leona']",1
5661-7266,Blue,"['LeBlanc', 'Lee Sin', 'Lucian', 'Miss Fortune', 'Nautilus']",0
5661-7266,Red,"['Renekton', 'Taliyah', 'Lissandra', 'Senna', 'Braum']",1
5662-7264,Blue,"['Aatrox', 'Gragas', 'Ryze', 'Miss Fortune', 'Leona']",1
5662-7264,Red,"['Mordekaiser', 'Lee Sin', 'Zoe', 'Senna', 'Tahm Kench']",0
5662-7267,Blue,"['Mordekaiser', 'Lee Sin', 'Rumble', 'Miss Fortune', 'Leona']",0
5662-7267,Red,"['Renekton', 'Taliyah', 'Aatrox', 'Lucian', 'Rakan']",1
